game,firstPlayer,phase,param_model,rel_model,observed
coordination0,column,rangeProb1,50,0.5,66.65
coordination1,column,rangeProb1,50,0.5,53.375
disjunctive0,column,rangeProb1,60,0.878748358,71.27659574
disjunctive3,column,rangeProb1,43,0.346262981,57.51282051
pd0,column,rangeProb1,83,0.998930904,79.42424242
pd3,column,rangeProb1,34,0.019561656,23.9245283
singleControl0,column,rangeProb1,73,0.985074706,79.8125
singleControl1,column,rangeProb1,27,0.014925294,14.48780488
threat0,column,rangeProb1,86,0.997228891,75.04878049
threat1,column,rangeProb1,38,0.099471706,46.13888889
threat3,column,rangeProb1,38,0.099471706,42.47058824
coordination0,row,rangeProb1,50,0.5,62.87804878
coordination1,row,rangeProb1,50,0.5,68.3902439
disjunctive0,row,rangeProb1,60,0.878748358,75.44117647
disjunctive3,row,rangeProb1,43,0.346262981,42.71428571
pd0,row,rangeProb1,83,0.998930904,79.47916667
pd3,row,rangeProb1,34,0.019561656,27.07142857
singleControl0,row,rangeProb1,50,0.5,65.09090909
singleControl1,row,rangeProb1,50,0.5,63.975
threat0,row,rangeProb1,62,0.900528294,63.425
threat1,row,rangeProb1,62,0.900528294,65.37777778
threat3,row,rangeProb1,14,0.002771109,29.65957447
coordination0,column,rangeProb2,62,0.819121152,76.975
coordination1,column,rangeProb2,14,0.056656466,23.15
disjunctive0,column,rangeProb2,60,0.878748358,75.31914894
disjunctive3,column,rangeProb2,14,0.028875315,23.33333333
pd0,column,rangeProb2,85,0.999407406,88.51515152
pd3,column,rangeProb2,31,0.0099283,38.30188679
singleControl0,column,rangeProb2,73,0.985074706,83.77083333
singleControl1,column,rangeProb2,27,0.014925294,33.82926829
threat0,column,rangeProb2,87,0.998519328,73.48780488
threat1,column,rangeProb2,50,0.233694556,59.75
threat3,column,rangeProb2,15,0.055281988,28.14705882
coordination0,row,rangeProb2,62,0.819121152,80.12195122
coordination1,row,rangeProb2,14,0.056656466,19.97560976
disjunctive0,row,rangeProb2,60,0.878748358,78.79411765
disjunctive3,row,rangeProb2,12,0.028875315,11.23809524
pd0,row,rangeProb2,85,0.999407406,90.29166667
pd3,row,rangeProb2,31,0.0099283,57.28571429
singleControl0,row,rangeProb2,68,0.754105268,86.24242424
singleControl1,row,rangeProb2,32,0.245894732,17.95
threat0,row,rangeProb2,85,0.944718012,80.45
threat1,row,rangeProb2,50,0.766305444,48.51111111
threat3,row,rangeProb2,13,0.001480672,18.19148936
