game,firstPlayer,phase,mean
coordination0,column,rangeProb1,66.65
coordination0,column,rangeProb2,76.975
coordination0,row,rangeProb1,62.8780487804878
coordination0,row,rangeProb2,80.1219512195122
coordination1,column,rangeProb1,53.375
coordination1,column,rangeProb2,23.15
coordination1,row,rangeProb1,68.39024390243902
coordination1,row,rangeProb2,19.975609756097562
disjunctive0,column,rangeProb1,71.27659574468085
disjunctive0,column,rangeProb2,75.31914893617021
disjunctive0,row,rangeProb1,75.44117647058823
disjunctive0,row,rangeProb2,78.79411764705883
disjunctive3,column,rangeProb1,57.51282051282051
disjunctive3,column,rangeProb2,23.333333333333332
disjunctive3,row,rangeProb1,42.714285714285715
disjunctive3,row,rangeProb2,11.238095238095237
pd0,column,rangeProb1,79.42424242424242
pd0,column,rangeProb2,88.51515151515152
pd0,row,rangeProb1,79.47916666666667
pd0,row,rangeProb2,90.29166666666667
pd3,column,rangeProb1,23.92452830188679
pd3,column,rangeProb2,38.301886792452834
pd3,row,rangeProb1,27.071428571428573
pd3,row,rangeProb2,57.285714285714285
singleControl0,column,rangeProb1,79.8125
singleControl0,column,rangeProb2,83.77083333333333
singleControl0,row,rangeProb1,65.0909090909091
singleControl0,row,rangeProb2,86.24242424242425
singleControl1,column,rangeProb1,14.487804878048781
singleControl1,column,rangeProb2,33.829268292682926
singleControl1,row,rangeProb1,63.975
singleControl1,row,rangeProb2,17.95
threat0,column,rangeProb1,75.04878048780488
threat0,column,rangeProb2,73.48780487804878
threat0,row,rangeProb1,63.425
threat0,row,rangeProb2,80.45
threat1,column,rangeProb1,46.138888888888886
threat1,column,rangeProb2,59.75
threat1,row,rangeProb1,65.37777777777778
threat1,row,rangeProb2,48.51111111111111
threat3,column,rangeProb1,42.470588235294116
threat3,column,rangeProb2,28.147058823529413
threat3,row,rangeProb1,29.659574468085108
threat3,row,rangeProb2,18.19148936170213
